epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.211,1.14068,1.87325,0.95288,1,0.15482,0.38005,0.26097,1.02589,2.7512,0.92333,0.000467977,0.000467977,0.000467977
2,221.666,1.01846,0.88518,0.91828,0.89115,0.5611,0.57652,0.35521,1.0365,1.65266,0.93725,0.000934961,0.000934961,0.000934961
3,317.111,0.97036,0.80765,0.90299,0.93354,0.64465,0.69872,0.43427,0.95441,0.79848,0.91969,0.00139251,0.00139251,0.00139251
4,413.48,0.94799,0.7367,0.89457,0.81084,0.65796,0.68844,0.42133,0.96261,0.73927,0.94228,0.00138656,0.00138656,0.00138656
5,513,0.90453,0.66324,0.88837,0.87797,0.71605,0.76893,0.49861,0.84487,0.67668,0.89268,0.00137241,0.00137241,0.00137241
6,613.153,0.92695,0.64913,0.89063,0.8469,0.69598,0.72419,0.43265,0.92975,0.64724,0.91613,0.00135826,0.00135826,0.00135826
7,717.398,0.93234,0.62914,0.89717,0.76947,0.77825,0.79614,0.50071,0.8803,0.62485,0.90488,0.00134412,0.00134412,0.00134412
8,814.698,0.88897,0.6144,0.88509,0.86855,0.75389,0.77357,0.49167,0.84444,0.58969,0.89488,0.00132997,0.00132997,0.00132997
9,913.662,0.85991,0.57244,0.87539,0.8739,0.76814,0.81837,0.52493,0.82318,0.53501,0.88887,0.00131582,0.00131582,0.00131582
10,1010.95,0.88867,0.58158,0.87924,0.79386,0.74383,0.7677,0.48839,0.80561,0.53289,0.88823,0.00130168,0.00130168,0.00130168
11,1109.82,0.83519,0.54269,0.86642,0.86727,0.80002,0.80101,0.52049,0.81188,0.55648,0.88589,0.00128753,0.00128753,0.00128753
12,1207.47,0.86204,0.52948,0.87816,0.86145,0.81272,0.82124,0.50876,0.83931,0.54087,0.89063,0.00127338,0.00127338,0.00127338
13,1306.49,0.83352,0.50626,0.87148,0.90519,0.82928,0.86525,0.55542,0.80967,0.50792,0.88196,0.00125923,0.00125923,0.00125923
14,1405.88,0.82775,0.49238,0.86707,0.84641,0.76702,0.77452,0.5185,0.81756,0.50535,0.8869,0.00124509,0.00124509,0.00124509
15,1504.27,0.83228,0.49551,0.86732,0.8796,0.82344,0.84056,0.53658,0.83559,0.51143,0.88528,0.00123094,0.00123094,0.00123094
16,1609.29,0.858,0.49283,0.87251,0.85878,0.83858,0.8453,0.5483,0.7881,0.47348,0.87858,0.00121679,0.00121679,0.00121679
17,1707.52,0.8344,0.48625,0.86572,0.81969,0.80098,0.8147,0.53754,0.78903,0.47895,0.87924,0.00120265,0.00120265,0.00120265
18,1804.65,0.82994,0.47537,0.8625,0.87149,0.86093,0.8568,0.55479,0.78403,0.44631,0.87924,0.0011885,0.0011885,0.0011885
19,1901.79,0.80118,0.4529,0.86211,0.84367,0.80903,0.81141,0.53622,0.78846,0.45521,0.87931,0.00117435,0.00117435,0.00117435
20,1998.98,0.80948,0.45526,0.86271,0.90215,0.83187,0.85097,0.54761,0.76854,0.44978,0.87285,0.00116021,0.00116021,0.00116021
21,2096.22,0.81387,0.47046,0.86427,0.91098,0.84421,0.85982,0.5467,0.80649,0.45643,0.88202,0.00114606,0.00114606,0.00114606
